timestamp,bead_x,bead_y,bead_z
172.925049,-0.000858,-0.038194,0.135458
172.929199,-0.000207,-0.03072,0.12637
172.93335,-0.00055,-0.022432,0.116102
172.9375,-0.000129,-0.008293,0.107169
172.94165,0.000604,0.008275,0.101879
172.945801,0.00086,0.01908,0.101627
172.950073,0.00103,0.029608,0.105262
172.954224,0.001209,0.039389,0.111593
172.958374,0.000991,0.04115,0.119267
172.962524,0.00133,0.037361,0.127003
172.966675,0.001438,0.034422,0.133851
172.970825,0.0007,0.027262,0.139023
172.974976,0.000629,0.012466,0.140599
172.979248,0.00072,-0.00253,0.13759
172.983398,-0.000353,-0.01388,0.130092
172.987549,-0.000672,-0.027774,0.120346
172.991699,-0.000447,-0.038813,0.110605
172.99585,-0.000863,-0.042444,0.103679
173,-0.001277,-0.039932,0.101991
173.00415,-0.000782,-0.039725,0.107485
173.008301,-0.000762,-0.042417,0.119254
173.012573,-0.001076,-0.040216,0.131926
173.016724,-0.000933,-0.038632,0.139926
173.020874,-0.000837,-0.041249,0.140852
173.025024,-0.000718,-0.039117,0.135601
173.029175,-0.000437,-0.031345,0.1265
173.033325,-0.000366,-0.021277,0.116151
173.037476,-0.000088,-0.008196,0.107114
173.041748,0.000253,0.007369,0.101784
173.045898,0.0009,0.019454,0.101598
173.050049,0.001112,0.029943,0.105238
173.054199,0.001022,0.038667,0.111585
173.05835,0.001223,0.040301,0.119061
173.0625,0.001476,0.037813,0.126795
173.06665,0.00119,0.034709,0.133713
173.070801,0.000767,0.026384,0.138872
173.075073,0.000893,0.012098,0.140498
173.079224,0.000349,-0.001654,0.137663
173.083374,-0.0004,-0.01416,0.130302
173.087524,-0.000325,-0.028216,0.120561
173.091675,-0.000633,-0.03796,0.110888
173.095825,-0.001311,-0.040798,0.103987
173.099976,-0.000985,-0.039758,0.102118
173.104248,-0.000516,-0.041149,0.107684
173.108398,-0.001149,-0.042134,0.119247
173.112549,-0.001073,-0.039056,0.131923
173.116699,-0.000509,-0.039566,0.140017
173.12085,-0.001079,-0.042017,0.140838
173.125,-0.001004,-0.038255,0.135603
173.12915,-0.000146,-0.030873,0.126466
173.133301,-0.000312,-0.022261,0.116168
173.137573,-0.000324,-0.008152,0.107177
